CityID,CityName,Population,Area,CulturalSites
1,Paris,2250000,250.0,7
2,Marseille,851000,240.6,7
3,Lyon,491000,47.87,1
4,Toulouse,447000,118.3,4
5,Nice,344000,71.9,3
6,GCnYfE,1937534,4075.76,3
7,gmTA,550832,3160.19,6
8,tXCA,1190719,3468.78,4
9,AtawC,942912,319.06,6
10,sjGV,4336033,1467.29,3
11,aqLRH,55182,1423.17,5
12,dzeZMc,903652,1652.88,2
13,RWIKss,1029760,4238.86,4
14,rqynV,1666656,3289.39,3
15,jiEHg,4697399,3176.19,2
16,wxOfMT,4307211,2726.65,4
17,bBUVtO,2872468,3098.1,2
18,Qtzzi,174577,3750.59,5
19,XoDQVr,4894737,2859.59,3
20,gbLFTk,4031856,3787.42,5
21,iauc,3047373,3576.76,2
22,cakt,3766463,1186.2,4
23,EZHnB,2058140,1197.78,3
24,TMLF,3583318,3135.92,3
25,nxMg,1477289,2737.14,2
26,enTWYc,4515845,664.38,7
27,UajxC,1525679,437.03,6
28,rJTGvR,480514,1123.0,2
29,YndGbF,1928997,1773.25,3
30,KKozm,652052,821.29,2
31,CskZyB,412759,3777.76,5
32,xOeQr,2705202,4181.95,6
33,jdyMt,1100904,2347.69,6
34,imCgc,1878271,1459.48,7
35,gPdd,3786349,4808.28,4
36,ZvvKD,3633216,1476.14,4
37,dXxco,1066981,3338.0,5
38,BSuj,1780337,2027.22,3
39,BqqqUG,1890202,1312.29,4
40,vgNkBN,4747045,2769.69,2
41,nTwb,1171379,288.75,5
42,nAoZ,2282936,4537.2,6
43,fXFmE,2470418,958.65,2
44,XzmlB,2141182,3743.27,5
45,WpMfC,1131670,4293.84,6
46,tmyDxE,2248702,3400.49,5
47,Nwbt,1315161,991.71,4
48,GYFx,1949126,668.87,3
49,cxWst,2952938,3578.78,2
50,lKHbWC,2748327,1162.34,2
51,ZecVmh,1622638,850.81,3
52,xSSdl,2870261,412.15,3
53,Npmr,3916339,3770.76,3
54,DcvAS,91900,825.49,6
55,iZZN,1658069,1949.43,6
56,RMeUsq,1400488,2549.84,4
57,Gyth,589350,2885.43,3
58,SnflT,2275288,2447.41,7
59,xZvlIC,108106,2361.71,6
60,tjuHAR,1244984,4147.39,2
61,pVhzJ,4038316,1480.46,6
62,hptUH,2093016,2585.83,7
63,zQBdkZ,3668820,4042.06,3
64,QiYz,4806799,830.01,2
65,ocNK,4781990,1688.22,2
66,GNxQ,2867326,2060.61,2
67,Quxg,2612976,1060.84,3
68,UDqndW,743307,2494.58,7
69,QRhVA,4186397,3416.96,7
70,bwqFIY,3058710,3135.5,6
71,OcxB,961900,1002.09,7
72,rSURhO,766072,4096.85,2
73,ujKyM,1907633,1374.14,5
74,qLpnn,4375649,4404.05,2
75,BlMp,4836574,1715.96,7
76,HCTpV,4033531,3973.7,3
77,AzFWls,1746218,2283.41,2
78,TtUkJ,3298818,4351.08,6
79,yCHb,1953314,1048.93,2
80,nRgz,2071781,2550.77,5
81,DMFvWF,1193337,2607.09,3
82,fDooze,1102858,617.64,5
83,VZRP,4687085,1717.09,4
84,DgoYUb,15640,2778.02,5
85,rVDWMQ,1819397,2562.63,5
86,oPdNkg,491009,2557.37,4
87,VUKY,1758905,3437.49,2
88,SkKy,632452,1261.84,4
89,UmwWmD,2410210,2167.19,3
90,OJQK,1884298,2982.48,2
91,MfdA,3231771,855.93,3
92,sRMO,2451155,2061.07,4
93,KAwppV,2916073,2744.1,4
94,hPCg,1476322,3034.67,5
95,mZLHqY,459865,467.42,4
96,CTjYot,726196,4417.8,2
97,sYHMjT,2576145,3239.71,2
98,GXoJ,3007595,1900.62,2
99,owPfq,2026165,4054.88,6
100,Spxk,659600,4456.19,6
101,cZdew,3681287,760.53,7
102,PJEfhT,1371094,2616.0,5
103,RHxmZT,3895471,398.1,2
104,Cvwrir,4856832,1810.36,2
105,YDSs,2220061,453.01,4
106,YQKBU,1069899,1208.12,2
107,aSuMKZ,2574820,3426.8,6
108,SnYo,1625129,3557.81,3
109,BLnsp,112726,3125.6,2
110,cWCq,4271022,2680.78,6
111,IHIIpd,2498518,4070.42,5
112,pwSEu,3046566,3037.35,2
113,ikAgfL,4330205,696.19,5
114,kJfYjX,510008,4118.35,4
115,gyfsi,4515528,343.64,3
116,sVdb,3892869,1520.7,5
117,wBYHQ,1682917,702.3,4
118,AYJw,3364508,3191.03,2
119,lvqQ,3276011,3766.95,2
120,hzRyu,1193848,4872.68,6
121,PGau,496348,4131.49,7
122,yFLL,4922287,2735.76,7
123,JhmwAg,4780668,3469.18,7
124,daUnON,4877414,2067.27,3
125,cKVQrv,1131694,4516.49,5
126,JwnX,1582622,3307.72,5
127,ADCzk,4996833,4020.73,5
128,AreQ,531940,2467.51,6
129,FWvS,3087907,4579.78,5
130,gOtpXx,2276150,740.43,7
131,YcnOZ,2047011,1874.98,4
132,etXei,1110110,4620.42,5
133,CVtF,3660508,1133.65,5
134,KglHy,329249,3840.79,2
135,blPyx,2830154,955.74,5
136,kmGHk,1527678,3321.6,6
