CityID,CityName,Population,Area,CulturalSites
1,Berlin,3520000,891.3,7
2,Hamburg,1790000,755.2,6
3,Munich,1450000,310.7,3
4,Cologne,1060000,405.15,5
5,Frankfurt,733000,500.0,3
6,tLTT,4612679,1684.85,6
7,posU,3629196,4686.78,4
8,Nwvngc,2356514,361.22,6
9,lznY,1316886,4321.89,2
10,isVB,3141122,2166.49,3
11,uDyYV,2318253,4990.76,7
12,vxDu,1286493,1144.51,4
13,gYbWQ,914876,2191.29,7
14,jDlwYd,3949795,3641.3,3
15,raYl,33738,4461.73,2
16,uJVunV,629804,519.79,7
17,qHIceI,4200206,4914.2,5
18,BzhvJZ,3218325,4395.65,3
19,coBNe,2977006,2462.85,4
20,lVncIR,496543,3312.29,6
21,QtZF,2569560,2382.65,4
22,keZrQw,1489719,3890.23,4
23,pCbkEr,4272380,3212.06,7
24,jGoUqL,2344459,2063.95,5
25,XBiXZj,4751903,2801.03,7
26,dOklJt,1915081,3296.37,4
27,MSqbO,1626286,946.45,6
28,iskYRU,3938059,1626.28,5
29,NTsW,437248,3368.44,4
30,PSwE,4830783,401.51,7
31,VQezS,3169211,223.85,4
32,QSTq,783610,1091.57,5
33,TZcTI,4445942,2199.47,5
34,KBRSlK,4186723,3523.87,7
35,eRlIWS,1194022,1170.91,3
36,tCKmv,3101448,988.71,3
37,LhefK,1315337,1613.35,4
38,adiJ,948563,1119.1,7
39,cfDZ,680803,3309.63,2
40,urJr,3776728,4412.73,6
41,kRMAoY,504796,2801.89,6
42,uWLSiF,1555990,4537.94,2
43,hKEpxT,2280323,4269.67,3
44,ermmjq,17982,4402.43,2
45,OSAQ,334215,3587.0,3
46,kEyiL,3346343,1270.28,6
47,psJVTB,4387916,3827.8,5
48,kAPW,1063933,913.55,3
49,SFVxj,3992905,1264.18,5
50,DJWjJZ,2271787,3021.33,4
51,hejZ,3690967,4074.27,5
52,ENuDG,2906363,3985.68,7
53,SzCGvN,758456,714.69,3
54,AWVpm,3901674,4534.81,6
55,zJMzrj,2161021,3258.8,7
56,dqWIbj,3394725,370.9,3
57,ClvkM,1755282,4620.32,3
58,YDRT,4231469,3455.14,6
59,PeUF,1235093,4070.01,7
60,isuGV,429472,3304.6,2
61,YFXjCQ,2647418,3773.16,5
62,NULz,3274524,787.47,4
63,jDHWHN,4166908,574.73,4
64,ECjyG,542493,757.21,4
65,yeIa,211393,1536.77,3
66,MoTO,4716763,244.6,3
67,NjDXO,4143583,1584.63,3
68,UQxkj,278012,2042.69,3
69,BXId,4099898,1950.11,3
70,smhNnp,1578886,1310.35,2
71,ZZETMm,4166357,4053.63,7
72,zBhHCb,3503666,2375.55,6
73,JzOTYQ,4245596,1571.57,4
74,ncdbKZ,3657080,2949.87,3
75,KpvX,1970970,4666.41,2
76,ciPRB,1683107,1516.52,4
77,GvXexq,3234650,2557.83,7
78,rMeM,67410,1520.98,4
79,XsmEi,1641936,1338.2,3
80,tZeax,1349289,589.56,3
81,rwMBvs,57816,1294.89,3
82,cNGAkk,2892657,2914.71,4
83,wOXUpQ,82159,1966.91,5
84,zwiYSY,420244,959.47,7
85,ssddYG,2481386,2662.39,5
86,froBzk,2504520,1575.05,4
87,zwXUy,1396387,3127.19,7
88,NkCM,4810450,3223.45,7
89,piQeHk,1075652,2888.01,5
90,MdfqH,1204589,1726.21,6
91,DwQlb,2388347,2533.37,2
92,AiwT,2981109,518.39,7
93,oBMMpg,2681141,2276.35,2
94,tdjolM,3434868,4105.35,5
95,sWmP,2447376,3934.03,6
96,MdRxOA,1156974,4132.14,6
97,yeRSf,4225882,4607.22,7
98,aHAC,2820779,3847.01,3
99,nYLNd,1179285,902.99,3
100,IdKLwc,3928914,2839.57,2
101,rkUtG,1331190,3273.32,2
102,ENLvYT,3842805,542.59,6
103,ETijv,2342570,2375.91,4
104,zcneBC,2420326,3151.44,3
105,AZhcU,3301940,337.24,3
106,btie,2671460,1717.32,7
107,rZSgQb,3580460,4031.35,5
108,qKQuQp,1758797,4658.49,4
109,bFehv,379082,4615.35,5
110,qOzV,4951460,3647.23,4
111,aPEeT,420261,1483.69,6
112,HLbRMj,3929768,1437.8,7
113,zrDGx,4964030,3354.98,7
114,wGGUL,4331447,2066.59,7
115,VjYE,1420049,3876.17,3
116,fYPEA,4838738,3505.29,6
117,snsIe,1731724,2921.88,2
118,OWeG,4144186,1114.35,4
119,XJal,77618,773.24,2
120,fgkL,4409634,3117.08,6
121,oFXNxO,1430484,3507.24,4
122,gEKs,304806,306.76,6
123,qvjv,3836210,1771.14,7
124,DBmaz,1959696,4249.01,6
125,UQDT,3598908,2391.05,3
126,yRfLqt,2434418,2896.38,3
127,uHKW,2742011,4669.5,5
128,bUff,1721819,3365.3,4
129,WxyB,3047054,1207.12,7
130,zhkc,440397,1695.43,4
131,COvID,3716344,2401.41,7
132,xdtzM,1072965,4618.85,2
133,roTm,84458,1322.38,4
134,OmnYKw,526175,1932.27,5
135,alTK,1072853,2505.19,6
136,LgHfru,4574317,3698.37,3
137,xIZYGW,4849407,3574.2,6
138,JFkVWC,988851,1789.49,4
139,fhHzMK,2350395,172.54,4
140,VBWWE,4109707,1119.8,4
141,eIbza,1099736,2023.43,6
142,lfNuU,2466565,3915.81,3
143,ALgs,3733120,3488.76,4
144,VcYXW,4581865,2838.85,4
145,SdMM,791701,266.12,5
146,qIWuUv,2644193,1553.55,5
147,zmOU,852243,2932.22,6
148,FaMHN,2121660,4899.2,2
149,xaww,20347,3084.59,3
150,sppqcW,3732320,2230.85,3
