cities,population
Aast,1347387
Abainville,912312
Abancourt,870664
Abancourt,1666354
Abaucourt,839601
Abaucourt-Hautecourt,596865
Abbans-Dessous,1947470
Abbans-Dessus,734762
Abbaretz,292039
Abbecourt,478684
Abbécourt,2512797
Abbenans,1985858
Abbeville,2050621
Abbéville-la-Rivière,648075
Abbéville-lès-Conflans,2364643
Abbeville-Saint-Lucien,1256006
Abbévillers,2699791
Abeilhan,1536526
Abelcourt,253964
Abère,1926483
Abergement-la-Ronce,584558
Abergement-le-Grand,2276607
Abergement-le-Petit,1008061
Abergement-lès-Thésy,2691661
Abidos,680403
Abilly,1894910
Abitain,1478844
Abjat-sur-Bandiat,2338778
Ablain-Saint-Nazaire,1919485
Ablaincourt-Pressoir,2007114
Ablainzevelle,2283033
Ablancourt,1690027
Ableiges,1615486
Ablis,103788
Ablon,166046
Ablon-sur-Seine,1684867
Aboën,1093578
Aboncourt,333609
Aboncourt,1139909
Aboncourt-Gesincourt,2347261
Aboncourt-sur-Seille,2398779
Abondance,1948184
Abondant,577715
Abos,1803665
Abreschviller,1767834
Abrest,1658948
Abriès,828732
Abscon,481964
Abzac,1230585
Abzac,356809
Accolans,322195
Accolay,10074
Accons,2561155
Accous,2256523
Achain,2590815
Achen,1240848
Achenheim,2743806
Achères,2104269
Achères,1194999
Achères-la-Forêt,1804239
Achery,1668617
Acheux-en-Amiénois,1445582
Acheux-en-Vimeu,132168
Acheville,2012436
Achey,1616465
Achicourt,2238805
Achiet-le-Grand,1983383
Achiet-le-Petit,2033079
Achun,1826534
Achy,2256808
Acigné,631276
Aclou,1805969
Acon,935639
Acq,145744
Acqueville,195106
Acqueville,713484
Acquigny,977391
Acquin-Westbécourt,2556864
Acy,2181945
Acy-en-Multien,199909
Acy-Romance,2273271
Adaincourt,2563024
Adainville,1838005
Adam-lès-Passavant,2636888
Adam-lès-Vercel,2205795
Adamswiller,1806761
Adast,1805349
Adé,1864677
Adelange,1051964
Adelans-et-le-Val-de-Bithaine,609669
Adervielle-Pouchergues,331764
Adilly,786217
Adinfer,2064688
Adissan,1915617
Adon,713327
Adriers,1068301
Afa,2021700
Affieux,1338306
Affléville,1174965
Affoux,2514305
Affracourt,747296
Affringues,2768941
Agassac,1436112
Agde,120020
Agel,1940292
Agen,716233
Agen-d'Aveyron,1019854
Agencourt,756710
Agenville,1530956
Agenvillers,70285
Ageville,903675
Agey,2559606
Aghione,689552
Agincourt,2600021
Agmé,2716443
Agnac,1338994
Agnat,325912
Agneaux,2148244
Agnetz,446747
Agnez-lès-Duisans,1002454
Agnicourt-et-Séchelles,2112212
Agnières,259062
Agnières-en-Dévoluy,1851162
Agnin,1199385
Agnos,1076505
Agny,2356378
Agon-Coutainville,327086
Agonac,1848276
Agonès,2004650
Agonges,1288052
Agos-Vidalos,1785879
Agris,880271
Agudelle,1608036
Aguessac,717979
Aguilcourt,1797772
Aguts,2042170
Agy,346315
Ahaxe-Alciette-Bascassan,2756107
Ahetze,2465041
Ahéville,839431
Ahuillé,1513794
Ahun,987178
Ahuy,1857195
Aibes,1293716
Aibre,1871459
Aïcirits-Camou-Suhast,625741
Aiffres,50719
Aigaliers,515550
Aiglemont,1873538
Aiglepierre,557916
Aigleville,1780122
Aiglun,2611115
Aiglun,2505492
Aignan,1593324
Aignay-le-Duc,611250
Aigne,2446887
Aigné,2161387
Aignerville,258704
Aignes,231134
Aignes-et-Puypéroux,2494238
Aigneville,826894
Aigny,2120409
Aigonnay,2520898
Aigre,173389
Aigrefeuille,2618935
Aigrefeuille-d'Aunis,1234992
Aigrefeuille-sur-Maine,2608289
Aigremont,2748631
Aigremont,1536063
Aigremont,2311605
Aigremont,2536935
Aiguebelette-le-Lac,2168576
Aiguebelle,1589412
Aigueblanche,2765391
Aiguefonde,2716347
Aigueperse,2599231
Aigueperse,2547744
Aigues-Juntes,25359
Aigues-Mortes,1766398
Aigues-Vives,1166337
Aigues-Vives,2719263
Aigues-Vives,1697527
Aigues-Vives,2618209
Aiguèze,1750254
Aiguilhe,1997670
Aiguilles,219215
Aiguillon,293588
Aiguines,82710
Aigurande,2220301
Ailhon,587580
Aillant-sur-Milleron,511256
Aillant-sur-Tholon,1533271
Aillas,1852886
Ailleux,956442
Aillevans,2499557
Ailleville,2597967
Aillevillers-et-Lyaumont,1698178
Aillianville,590274
Aillières-Beauvoir,1124237
Aillon-le-Jeune,642
Aillon-le-Vieux,428907
Ailloncourt,2575082
Ailly,1854418
Ailly-le-Haut-Clocher,1886378
Ailly-sur-Noye,322977
Ailly-sur-Somme,505955
Aimargues,1030293
Aime,407580
Ainay-le-Château,1449758
Ainay-le-Vieil,2567100
Aincille,413085
Aincourt,1408053
Aincreville,61392
Aingeray,1102924
Aingeville,1459902
Aingoulaincourt,902466
Ainharp,1626973
Ainhice-Mongelos,285827
Ainhoa,1898950
Ainvelle,2211048
Ainvelle,2767552
Airaines,1441433
Airan,2293955
Aire,1562675
Aire-sur-l'Adour,2720013
Aire-sur-la-Lys,1356183
Airel,935194
Airion,2113969
Airon-Notre-Dame,2644452
Airon-Saint-Vaast,2277450
Airoux,2623666
Airvault,1633960
Aiserey,988458
Aisey-et-Richecourt,592394
Aisey-sur-Seine,1024743
Aisonville-et-Bernoville,1450358
Aïssey,2469438
Aisy-sous-Thil,1587724
