city,population
Berlin,3644826.0
Hamburg,1841179.0
Munich,1471508.0
Cologne,1085664.0
Frankfurt,753056.0
Bremen,724909.0
Stuttgart,634830.0
Düsseldorf,619294.0
Dortmund,587010.0
Essen,583109.0
Dresden,555805.0
Leipzig,542529.0
Hannover,538068.0
Nuremberg,518365.0
Duisburg,498590.0
Bochum,364628.0
Wuppertal,354382.0
Bielefeld,333786.0
Bonn,327258.0
Münster,314319.0
Karlsruhe,313092.0
Mannheim,309370.0
Augsburg,295135.0
Wiesbaden,278342.0
Mönchengladbach,261454.0
Gelsenkirchen,260654.0
Braunschweig,248292.0
Kiel,247548.0
Aachen,247380.0
Chemnitz,245403.0
Halle,239257.0
Magdeburg,238697.0
Freiburg im Breisgau,230241.0
Krefeld,227020.0
Lübeck,217198.0
Oberhausen,210829.0
Rostock,208886.0
Erfurt,203254.0
Kassel,201585.0
Hagen,188814.0
Mainz,184997.0
Saarbrücken,180741.0
Hamm,179111.0
Potsdam,178089.0
Ludwigshafen,171061.0
Mülheim,170880.0
Oldenburg,168210.0
Osnabrück,164748.0
Leverkusen,163838.0
Heidelberg,160355.0
Solingen,159360.0
Darmstadt,159207.0
Herne,156374.0
Neuss,153796.0
Regensburg,152610.0
Paderborn,150580.0
Ingolstadt,136981.0
Würzburg,127880.0
Fürth,127748.0
Ulm,126329.0
Heilbronn,125960.0
Pforzheim,125542.0
Wolfsburg,124151.0
Göttingen,119801.0
Bottrop,117383.0
Reutlingen,115966.0
Koblenz,114024.0
Bremerhaven,113634.0
Recklinghausen,112267.0
Bergisch Gladbach,111966.0
Erlangen,111962.0
Jena,111407.0
Remscheid,110994.0
Trier,110636.0
Salzgitter,104948.0
Moers,103725.0
Siegen,102836.0
Hildesheim,101990.0
Cottbus,100219.0
Gütersloh,100194.0
Kaiserslautern,100030.0
Witten,96563.0
Hanau,96023.0
Schwerin,95818.0
Gera,94152.0
Esslingen,93542.0
Ludwigsburg,93499.0
Iserlohn,92666.0
Düren,90733.0
Tübingen,90546.0
Flensburg,90164.0
Zwickau,89540.0
Gießen,88546.0
Ratingen,87297.0
Lünen,86449.0
Villingen-Schwenningen,85181.0
Konstanz,84760.0
Marl,83941.0
Worms,83330.0
Velbert,81984.0
Minden,81682.0
Dessau-Roßlau,81237.0
Neumünster,79487.0
Norderstedt,79159.0
Delmenhorst,77607.0
Bamberg,77592.0
Viersen,76905.0
Marburg,76851.0
Rheine,76107.0
Wilhelmshaven,76097.0
Gladbeck,75687.0
Lüneburg,75351.0
Troisdorf,74903.0
Dorsten,74736.0
Bayreuth,74657.0
Detmold,74388.0
Arnsberg,73628.0
Castrop-Rauxel,73425.0
Lüdenscheid,72611.0
Landshut,72404.0
Brandenburg,72124.0
Bocholt,71099.0
Aschaffenburg,70527.0
Celle,69602.0
Kempten,68907.0
Fulda,68586.0
Aalen,68456.0
Lippstadt,67901.0
Dinslaken,67525.0
Herford,66608.0
Kerpen,66206.0
Weimar,65090.0
Plauen,64931.0
Sindelfingen,64858.0
Neuwied,64574.0
Dormagen,64335.0
Neubrandenburg,64086.0
Grevenbroich,63620.0
Rosenheim,63324.0
Herten,61791.0
Bergheim,61612.0
Schwäbisch Gmünd,61186.0
Coburg,61054.0
Friedrichshafen,60865.0
Garbsen,60754.0
Wesel,60357.0
Hürth,60189.0
Offenburg,59646.0
Stralsund,59421.0
Greifswald,59382.0
Langenfeld,58927.0
Neu-Ulm,58707.0
Unna,58633.0
Euskirchen,57975.0
Frankfurt (Oder),57873.0
Göppingen,57558.0
Hameln,57510.0
Stolberg,56792.0
Eschweiler,56385.0
Görlitz,56324.0
Meerbusch,56189.0
Sankt Augustin,55767.0
Hilden,55764.0
Waiblingen,55449.0
Baden-Baden,55123.0
Langenhagen,54631.0
Hattingen,54562.0
Lingen,54422.0
Bad Homburg,54248.0
Bad Salzuflen,54127.0
Pulheim,54071.0
Schweinfurt,54032.0
Nordhorn,53403.0
Neustadt,53148.0
Wetzlar,52954.0
Ahlen,52582.0
Frechen,52473.0
